,team_ids,round_ids,shots_total,shots_ongoal,shots_offgoal,shots_insidebox,shots_outsidebox,passes_total,passes_percentage,attacks_total,attacks_dangerous,fouls,corners,possession_time,yellow_cards,red_cards,saves,substitutions,tackles,penalties,injuries,results
476,7466,199448,4,5.0,-1.0,6.0,-2.0,-81.0,-3.269999999999996,4.0,-17.0,-1.0,1.0,-10,-1.0,,-2.0,,8.0,2.0,,1
477,390,199448,-4,-5.0,1.0,-6.0,2.0,81.0,3.269999999999996,-4.0,17.0,1.0,-1.0,10,1.0,,2.0,,-8.0,-2.0,,-1
478,1020,199448,10,3.0,7.0,11.0,0.0,85.0,1.8799999999999955,84.0,54.0,-7.0,7.0,8,0.0,,-3.0,1.0,3.0,,,1
479,211,199448,-10,-3.0,-7.0,-11.0,0.0,-85.0,-1.8799999999999955,-84.0,-54.0,7.0,-7.0,-8,0.0,,3.0,-1.0,-3.0,,,-1
480,939,199449,-8,3.0,-11.0,-1.0,-1.0,42.0,5.409999999999997,0.0,-2.0,-4.0,-2.0,4,0.0,,-3.0,0.0,4.0,,1.0,1
481,2356,199449,8,-3.0,11.0,1.0,1.0,-42.0,-5.409999999999997,0.0,2.0,4.0,2.0,-4,0.0,,3.0,0.0,-4.0,,-1.0,-1
482,2905,199449,-11,1.0,-12.0,-13.0,1.0,-149.0,-10.879999999999995,-23.0,-35.0,2.0,-9.0,-24,-1.0,,1.0,-2.0,1.0,,1.0,1
483,1789,199449,11,-1.0,12.0,13.0,-1.0,149.0,10.879999999999995,23.0,35.0,-2.0,9.0,24,1.0,,-1.0,2.0,-1.0,,-1.0,-1
484,390,199449,4,0.0,4.0,1.0,3.0,-99.0,-7.75,-45.0,-28.0,2.0,-3.0,-16,4.0,,2.0,1.0,9.0,0.0,-3.0,1
485,1020,199449,-4,0.0,-4.0,-1.0,-3.0,99.0,7.75,45.0,28.0,-2.0,3.0,16,-4.0,,-2.0,-1.0,-9.0,0.0,3.0,-1
486,293,199449,-4,-3.0,-1.0,2.0,-2.0,106.0,2.1799999999999926,-10.0,-4.0,3.0,0.0,10,0.0,,1.0,0.0,0.0,,,1
487,211,199449,4,3.0,1.0,-2.0,2.0,-106.0,-2.1799999999999926,10.0,4.0,-3.0,0.0,-10,0.0,,-1.0,0.0,0.0,,,-1
488,7466,199449,17,4.0,13.0,8.0,10.0,40.0,0.8900000000000006,6.0,22.0,-2.0,5.0,4,-1.0,,-5.0,-1.0,-6.0,,0.0,0
489,85,199449,-17,-4.0,-13.0,-8.0,-10.0,-40.0,-0.8900000000000006,-6.0,-22.0,2.0,-5.0,-4,1.0,,5.0,1.0,6.0,,0.0,0
490,2394,199449,17,6.0,11.0,12.0,7.0,-9.0,2.739999999999995,-8.0,16.0,5.0,4.0,-2,-1.0,,-4.0,0.0,-3.0,,,1
491,2650,199449,-17,-6.0,-11.0,-12.0,-7.0,9.0,-2.739999999999995,8.0,-16.0,-5.0,-4.0,2,1.0,,4.0,0.0,3.0,,,-1
492,2356,199450,4,1.0,3.0,0.0,1.0,50.0,4.589999999999989,10.0,9.0,-3.0,2.0,6,,,-1.0,3.0,8.0,,1.0,-1
493,293,199450,-4,-1.0,-3.0,0.0,-1.0,-50.0,-4.589999999999989,-10.0,-9.0,3.0,-2.0,-6,,,1.0,-3.0,-8.0,,-1.0,1
494,1789,199450,-12,-6.0,-6.0,-8.0,-2.0,-159.0,-9.460000000000008,6.0,-12.0,-16.0,-2.0,-22,,1.0,3.0,0.0,5.0,,0.0,-1
495,7466,199450,12,6.0,6.0,8.0,2.0,159.0,9.460000000000008,-6.0,12.0,16.0,2.0,22,,-1.0,-3.0,0.0,-5.0,,0.0,1
496,2650,199450,-7,-5.0,-2.0,-1.0,-7.0,37.0,-3.950000000000003,2.0,3.0,-2.0,-4.0,4,0.0,1.0,5.0,-1.0,3.0,,,0
497,390,199450,7,5.0,2.0,1.0,7.0,-37.0,3.950000000000003,-2.0,-3.0,2.0,4.0,-4,0.0,-1.0,-5.0,1.0,-3.0,,,0
498,1020,199450,-3,-3.0,0.0,-3.0,-1.0,92.0,3.239999999999995,6.0,24.0,0.0,2.0,12,0.0,,4.0,1.0,-2.0,,,0
499,2905,199450,3,3.0,0.0,3.0,1.0,-92.0,-3.239999999999995,-6.0,-24.0,0.0,-2.0,-12,0.0,,-4.0,-1.0,2.0,,,0
500,211,199450,-13,-3.0,-10.0,-7.0,-6.0,-134.0,-6.920000000000002,-27.0,-8.0,6.0,0.0,-18,2.0,,3.0,1.0,-1.0,1.0,1.0,0
501,939,199450,13,3.0,10.0,7.0,6.0,134.0,6.920000000000002,27.0,8.0,-6.0,0.0,18,-2.0,,-3.0,-1.0,1.0,-1.0,-1.0,0
502,85,199450,19,5.0,14.0,10.0,0.0,164.0,6.1699999999999875,48.0,35.0,-11.0,2.0,20,1.0,,-3.0,2.0,-3.0,1.0,,1
503,2394,199450,-19,-5.0,-14.0,-10.0,0.0,-164.0,-6.1699999999999875,-48.0,-35.0,11.0,-2.0,-20,-1.0,,3.0,-2.0,3.0,-1.0,,-1
504,939,199451,17,6.0,11.0,15.0,7.0,269.0,18.49000000000001,61.0,49.0,-12.0,3.0,32,-3.0,,-5.0,-1.0,-2.0,1.0,,1
505,1789,199451,-17,-6.0,-11.0,-15.0,-7.0,-269.0,-18.49000000000001,-61.0,-49.0,12.0,-3.0,-32,3.0,,5.0,1.0,2.0,-1.0,,-1
506,2905,199451,13,6.0,7.0,5.0,8.0,39.0,6.25,47.0,26.0,-3.0,3.0,4,-2.0,,-2.0,-1.0,4.0,,0.0,1
507,211,199451,-13,-6.0,-7.0,-5.0,-8.0,-39.0,-6.25,-47.0,-26.0,3.0,-3.0,-4,2.0,,2.0,1.0,-4.0,,0.0,-1
508,7466,199451,9,4.0,5.0,3.0,7.0,137.0,10.329999999999998,29.0,32.0,1.0,1.0,16,-2.0,,,0.0,-12.0,,,1
509,2650,199451,-9,-4.0,-5.0,-3.0,-7.0,-137.0,-10.329999999999998,-29.0,-32.0,-1.0,-1.0,-16,2.0,,,0.0,12.0,,,-1
510,390,199451,-5,3.0,-8.0,-3.0,-2.0,-286.0,-16.019999999999996,-51.0,-17.0,-9.0,-2.0,-30,1.0,,-1.0,2.0,10.0,,1.0,1
511,293,199451,5,-3.0,8.0,3.0,2.0,286.0,16.019999999999996,51.0,17.0,9.0,2.0,30,-1.0,,1.0,-2.0,-10.0,,-1.0,-1
512,85,199451,2,-2.0,4.0,0.0,2.0,245.0,12.939999999999998,48.0,9.0,-4.0,2.0,20,,,1.0,0.0,-10.0,,2.0,-1
513,1020,199451,-2,2.0,-4.0,0.0,-2.0,-245.0,-12.939999999999998,-48.0,-9.0,4.0,-2.0,-20,,,-1.0,0.0,10.0,,-2.0,1
514,2394,199451,5,0.0,5.0,3.0,3.0,52.0,7.450000000000003,-7.0,18.0,10.0,8.0,6,1.0,,0.0,1.0,-17.0,,1.0,1
515,2356,199451,-5,0.0,-5.0,-3.0,-3.0,-52.0,-7.450000000000003,7.0,-18.0,-10.0,-8.0,-6,-1.0,,0.0,-1.0,17.0,,-1.0,-1
516,2650,199452,-2,-2.0,0.0,-2.0,0.0,267.0,10.760000000000005,39.0,19.0,1.0,-2.0,26,-1.0,,-2.0,0.0,4.0,,,-1
517,1789,199452,2,2.0,0.0,2.0,0.0,-267.0,-10.760000000000005,-39.0,-19.0,-1.0,2.0,-26,1.0,,2.0,0.0,-4.0,,,1
518,293,199452,-2,-1.0,-1.0,4.0,-5.0,-89.0,-5.519999999999996,-49.0,-19.0,-6.0,-6.0,-12,3.0,1.0,-1.0,-4.0,-4.0,,0.0,-1
519,939,199452,2,1.0,1.0,-4.0,5.0,89.0,5.519999999999996,49.0,19.0,6.0,6.0,12,-3.0,-1.0,1.0,4.0,4.0,,0.0,1
520,211,199452,-12,-1.0,-11.0,-6.0,-6.0,-165.0,-16.760000000000005,-33.0,-21.0,4.0,-12.0,-26,1.0,,1.0,0.0,8.0,,,0
521,2394,199452,12,1.0,11.0,6.0,6.0,165.0,16.760000000000005,33.0,21.0,-4.0,12.0,26,-1.0,,-1.0,0.0,-8.0,,,0
522,2356,199452,18,1.0,17.0,11.0,9.0,226.0,20.040000000000006,69.0,119.0,1.0,7.0,32,-4.0,,-3.0,0.0,-8.0,,,-1
523,390,199452,-18,-1.0,-17.0,-11.0,-9.0,-226.0,-20.040000000000006,-69.0,-119.0,-1.0,-7.0,-32,4.0,,3.0,0.0,8.0,,,1
524,2905,199452,-1,-2.0,1.0,-6.0,4.0,-92.0,-10.010000000000005,-50.0,-12.0,0.0,1.0,-10,0.0,0.0,2.0,1.0,7.0,,,-1
525,85,199452,1,2.0,-1.0,6.0,-4.0,92.0,10.010000000000005,50.0,12.0,0.0,-1.0,10,0.0,0.0,-2.0,-1.0,-7.0,,,1
526,1020,199452,-5,-4.0,-1.0,-1.0,-3.0,40.0,0.09000000000000341,2.0,-8.0,-5.0,1.0,6,-1.0,,3.0,0.0,5.0,,-1.0,-1
527,7466,199452,5,4.0,1.0,1.0,3.0,-40.0,-0.09000000000000341,-2.0,8.0,5.0,-1.0,-6,1.0,,-3.0,0.0,-5.0,,1.0,1
528,7466,199453,-12,-4.0,-8.0,-16.0,0.0,52.0,4.599999999999994,-11.0,-14.0,-7.0,-3.0,6,3.0,,2.0,-1.0,0.0,,,-1
529,2356,199453,12,4.0,8.0,16.0,0.0,-52.0,-4.599999999999994,11.0,14.0,7.0,3.0,-6,-3.0,,-2.0,1.0,0.0,,,1
530,2394,199453,5,4.0,1.0,5.0,-5.0,-86.0,-3.739999999999995,-24.0,-22.0,10.0,-4.0,-12,,,2.0,1.0,-9.0,,-1.0,1
531,939,199453,-5,-4.0,-1.0,-5.0,5.0,86.0,3.739999999999995,24.0,22.0,-10.0,4.0,12,,,-2.0,-1.0,9.0,,1.0,-1
532,1789,199453,-4,-1.0,-3.0,0.0,-3.0,104.0,2.1099999999999994,26.0,-7.0,-3.0,1.0,12,0.0,,4.0,-1.0,-2.0,,1.0,1
533,211,199453,4,1.0,3.0,0.0,3.0,-104.0,-2.1099999999999994,-26.0,7.0,3.0,-1.0,-12,0.0,,-4.0,1.0,2.0,,-1.0,-1
534,85,199453,-3,-3.0,0.0,-1.0,0.0,-11.0,2.910000000000011,17.0,8.0,-9.0,-3.0,-2,1.0,1.0,3.0,-3.0,-14.0,,1.0,1
535,2650,199453,3,3.0,0.0,1.0,0.0,11.0,-2.910000000000011,-17.0,-8.0,9.0,3.0,2,-1.0,-1.0,-3.0,3.0,14.0,,-1.0,-1
536,1020,199453,4,4.0,0.0,9.0,-3.0,-68.0,-5.890000000000001,-25.0,1.0,6.0,1.0,-6,1.0,,-3.0,0.0,12.0,,,1
537,293,199453,-4,-4.0,0.0,-9.0,3.0,68.0,5.890000000000001,25.0,-1.0,-6.0,-1.0,6,-1.0,,3.0,0.0,-12.0,,,-1
538,390,199453,7,0.0,7.0,6.0,1.0,6.0,0.9899999999999949,-54.0,-28.0,-2.0,-6.0,-4,0.0,,0.0,0.0,-2.0,1.0,1.0,0
539,2905,199453,-7,0.0,-7.0,-6.0,-1.0,-6.0,-0.9899999999999949,54.0,28.0,2.0,6.0,4,0.0,,0.0,0.0,2.0,-1.0,-1.0,0
540,2356,199454,-3,-2.0,-1.0,-5.0,0.0,-2.0,2.549999999999997,2.0,3.0,6.0,3.0,0,2.0,,1.0,0.0,-8.0,1.0,1.0,-1
541,1020,199454,3,2.0,1.0,5.0,0.0,2.0,-2.549999999999997,-2.0,-3.0,-6.0,-3.0,0,-2.0,,-1.0,0.0,8.0,-1.0,-1.0,1
542,2394,199454,-2,-1.0,-1.0,-1.0,-3.0,68.0,-0.04999999999999716,-7.0,-6.0,5.0,2.0,6,1.0,,4.0,1.0,1.0,1.0,0.0,0
543,7466,199454,2,1.0,1.0,1.0,3.0,-68.0,0.04999999999999716,7.0,6.0,-5.0,-2.0,-6,-1.0,,-4.0,-1.0,-1.0,-1.0,0.0,0
544,2650,199454,-18,-6.0,-12.0,-16.0,-8.0,59.0,-2.200000000000003,4.0,-22.0,3.0,-4.0,4,3.0,,6.0,1.0,-1.0,,1.0,-1
545,2905,199454,18,6.0,12.0,16.0,8.0,-59.0,2.200000000000003,-4.0,22.0,-3.0,4.0,-4,-3.0,,-6.0,-1.0,1.0,,-1.0,1
546,293,199454,6,3.0,3.0,3.0,4.0,143.0,8.840000000000003,3.0,-9.0,-11.0,0.0,14,0.0,,0.0,-1.0,8.0,,2.0,1
547,1789,199454,-6,-3.0,-3.0,-3.0,-4.0,-143.0,-8.840000000000003,-3.0,9.0,11.0,0.0,-14,0.0,,0.0,1.0,-8.0,,-2.0,-1
548,939,199454,14,5.0,9.0,10.0,7.0,389.0,15.370000000000005,86.0,32.0,-2.0,3.0,34,-3.0,,,-1.0,-9.0,,,1
549,85,199454,-14,-5.0,-9.0,-10.0,-7.0,-389.0,-15.370000000000005,-86.0,-32.0,2.0,-3.0,-34,3.0,,,1.0,9.0,,,-1
550,211,199454,1,-3.0,4.0,4.0,-3.0,72.0,3.3299999999999983,36.0,29.0,0.0,2.0,10,3.0,,0.0,0.0,-5.0,,,-1
551,390,199454,-1,3.0,-4.0,-4.0,3.0,-72.0,-3.3299999999999983,-36.0,-29.0,0.0,-2.0,-10,-3.0,,0.0,0.0,5.0,,,1
