,team_ids,round_ids,shots_total,shots_ongoal,shots_offgoal,shots_insidebox,shots_outsidebox,passes_total,passes_percentage,attacks_total,attacks_dangerous,fouls,corners,possession_time,yellow_cards,red_cards,saves,substitutions,tackles,penalties,injuries,results
51,258,194972,1,-2.0,3.0,2.0,1.0,96,4.490000000000009,-4,10,0.0,2.0,12,,,2.0,1.0,9,-1.0,,-1
52,734,194972,-2,-2.0,,-1.0,1.0,-58,-6.140000000000001,12,6,0.0,1.0,-8,2.0,1.0,1.0,-1.0,-2,,,-1
53,66,194972,2,2.0,,1.0,-1.0,58,6.140000000000001,-12,-6,0.0,-1.0,8,-2.0,-1.0,-1.0,1.0,2,,,1
54,734,194973,17,3.0,14.0,9.0,7.0,-47,-3.1199999999999903,-59,26,,9.0,-4,,,-3.0,-2.0,14,,,1
55,496,194973,-17,-3.0,-14.0,-9.0,-7.0,47,3.1199999999999903,59,-26,,-9.0,4,,,3.0,2.0,-14,,,-1
56,180,194973,-3,8.0,-11.0,-3.0,-1.0,-255,-12.459999999999994,-52,-27,,-8.0,-36,2.0,,-4.0,2.0,3,,,1
57,282,194973,3,-8.0,11.0,3.0,1.0,255,12.459999999999994,52,27,,8.0,36,-2.0,,4.0,-2.0,-3,,,-1
58,258,194973,4,3.0,1.0,2.0,3.0,200,14.019999999999996,66,53,,9.0,26,-4.0,,-1.0,-3.0,4,,,1
59,246,194973,-4,-3.0,-1.0,-2.0,-3.0,-200,-14.019999999999996,-66,-53,,-9.0,-26,4.0,,1.0,3.0,-4,,,-1
60,338,194973,-18,-2.0,-16.0,-19.0,0.0,-398,-20.769999999999996,-7,-40,,3.0,-40,1.0,1.0,2.0,2.0,-4,,,-1
61,62,194973,18,2.0,16.0,19.0,0.0,398,20.769999999999996,7,40,,-3.0,40,-1.0,-1.0,-2.0,-2.0,4,,,1
62,53,194973,12,3.0,9.0,7.0,5.0,317,11.840000000000003,82,82,0.0,4.0,32,-1.0,,-1.0,0.0,0,,,1
63,309,194973,-12,-3.0,-9.0,-7.0,-5.0,-317,-11.840000000000003,-82,-82,0.0,-4.0,-32,1.0,,1.0,0.0,0,,,-1
64,66,194973,-6,-5.0,-1.0,0.0,-5.0,50,1.75,19,1,1.0,2.0,6,,,3.0,0.0,11,,,-1
65,273,194973,6,5.0,1.0,0.0,5.0,-50,-1.75,-19,-1,-1.0,-2.0,-6,,,-3.0,0.0,-11,,,1
66,258,194974,8,-1.0,9.0,8.0,-1.0,33,4.5,21,39,5.0,5.0,6,0.0,,0.0,0.0,0,,,-1
67,338,194974,-8,1.0,-9.0,-8.0,1.0,-33,-4.5,-21,-39,-5.0,-5.0,-6,0.0,,0.0,0.0,0,,,1
68,273,194974,6,0.0,6.0,2.0,4.0,3,-0.030000000000001137,-11,-11,-3.0,0.0,-2,,,-1.0,-3.0,-6,,,1
69,180,194974,-6,0.0,-6.0,-2.0,-4.0,-3,0.030000000000001137,11,11,3.0,0.0,2,,,1.0,3.0,6,,,-1
70,309,194974,-5,-1.0,-4.0,-7.0,1.0,-139,-6.940000000000012,-18,-17,1.0,-1.0,-18,4.0,,2.0,-1.0,-10,,,1
71,734,194974,5,1.0,4.0,7.0,-1.0,139,6.940000000000012,18,17,-1.0,1.0,18,-4.0,,-2.0,1.0,10,,,-1
72,62,194974,16,8.0,8.0,17.0,2.0,197,4.950000000000003,45,44,-5.0,4.0,20,-2.0,,-4.0,-1.0,6,,2.0,1
73,282,194974,-16,-8.0,-8.0,-17.0,-2.0,-197,-4.950000000000003,-45,-44,5.0,-4.0,-20,2.0,,4.0,1.0,-6,,-2.0,-1
74,246,194974,-9,-5.0,-2.0,-7.0,-2.0,-155,-3.7900000000000063,15,-3,2.0,-3.0,-16,0.0,,-1.0,-1.0,-6,,,-1
75,53,194974,9,5.0,2.0,7.0,2.0,155,3.7900000000000063,-15,3,-2.0,3.0,16,0.0,,1.0,1.0,6,,,1
76,496,194974,0,-2.0,3.0,2.0,-2.0,20,4.090000000000003,13,23,0.0,1.0,2,0.0,,-1.0,3.0,2,,,-1
77,66,194974,0,2.0,-3.0,-2.0,2.0,-20,-4.090000000000003,-13,-23,0.0,-1.0,-2,0.0,,1.0,-3.0,-2,,,1
78,496,194970,-11,-7.0,-4.0,-5.0,-4.0,-502,-31.989999999999995,-83,-55,,1.0,-54,2.0,,6.0,0.0,0,,,-1
79,53,194970,11,7.0,4.0,5.0,4.0,502,31.989999999999995,83,55,,-1.0,54,-2.0,,-6.0,0.0,0,,,1
80,53,194975,12,3.0,9.0,5.0,5.0,413,28.93,88,49,,2.0,42,0.0,,-2.0,1.0,-17,,,1
81,258,194975,-12,-3.0,-9.0,-5.0,-5.0,-413,-28.93,-88,-49,,-2.0,-42,0.0,,2.0,-1.0,17,,,-1
